"id","scientific","english","region","landcover","estimate","lower","upper"
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-1 Boreal Softwood Shield, Ontario","Taiga Conifer",0.298,0.272,0.336
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-1 Boreal Softwood Shield, Ontario","Deciduous",0.292,0.27,0.321
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-1 Boreal Softwood Shield, Ontario","Mixedwood",0.347,0.327,0.382
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-1 Boreal Softwood Shield, Ontario","Shrub",0.28,0.261,0.306
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-1 Boreal Softwood Shield, Ontario","Grass",0.303,0.282,0.33
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-1 Boreal Softwood Shield, Ontario","Arctic Grass",0.244,0.219,0.272
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-1 Boreal Softwood Shield, Ontario","Wetland",0.327,0.302,0.353
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-1 Boreal Softwood Shield, Ontario","Cropland",0.202,0.185,0.229
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-2 Boreal Softwood Shield, East","Conifer",0.474,0.458,0.497
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-2 Boreal Softwood Shield, East","Taiga Conifer",0.444,0.423,0.488
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-2 Boreal Softwood Shield, East","Deciduous",0.356,0.338,0.375
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-2 Boreal Softwood Shield, East","Mixedwood",0.413,0.398,0.429
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-2 Boreal Softwood Shield, East","Shrub",0.407,0.378,0.427
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-2 Boreal Softwood Shield, East","Grass",0.414,0.398,0.436
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-2 Boreal Softwood Shield, East","Arctic Shrub",0.416,0.387,0.449
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-2 Boreal Softwood Shield, East","Arctic Grass",0.327,0.3,0.353
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-2 Boreal Softwood Shield, East","Wetland",0.425,0.412,0.452
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-2 Boreal Softwood Shield, East","Cropland",0.2,0.183,0.228
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-3 Boreal Softwood Shield, Newfoundland","Conifer",0.676,0.562,0.759
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-3 Boreal Softwood Shield, Newfoundland","Taiga Conifer",0.633,0.517,0.738
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-3 Boreal Softwood Shield, Newfoundland","Deciduous",0.661,0.56,0.747
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-3 Boreal Softwood Shield, Newfoundland","Mixedwood",0.748,0.614,0.807
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-3 Boreal Softwood Shield, Newfoundland","Shrub",0.609,0.495,0.705
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-3 Boreal Softwood Shield, Newfoundland","Grass",0.702,0.591,0.765
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-3 Boreal Softwood Shield, Newfoundland","Arctic Shrub",0.603,0.486,0.723
"YRWA","Setophaga coronata","Yellow-rumped Warbler","8-3 Boreal Softwood Shield, Newfoundland","Wetland",0.682,0.574,0.77
